diagnosis_group,admit_month,patient_count,avg_length_of_stay_days
Diabetes,2024-01,1,5.0
Heart Disease,2024-01,6,6.33
Hypertension,2024-01,2,5.0
Asthma,2024-02,1,5.0
Diabetes,2024-02,2,3.0
Hypertension,2024-02,6,4.67
Asthma,2024-03,1,5.0
Diabetes,2024-03,6,5.17
Flu,2024-03,1,3.0
Heart Disease,2024-03,1,10.0
Allergy,2024-04,1,3.0
Asthma,2024-04,7,4.57
Flu,2024-04,1,3.0
Flu,2024-05,6,4.0
Heart Disease,2024-05,1,10.0
Allergy,2024-06,7,3.14
Allergy,2026-01,1,2.0
Asthma,2026-01,1,3.0
Diabetes,2026-01,1,5.0
Flu,2026-01,1,3.0
Heart Disease,2026-01,1,8.0
Hypertension,2026-01,1,5.0
Allergy,2026-02,1,3.0
Asthma,2026-02,1,4.0
Flu,2026-02,1,3.0
Heart Disease,2026-02,1,8.0
